,district,incumbent,party,dem_16,rep_16,tot_16,dem_pct_16,rep_pct_16,dem_12,rep_12,tot_12,dem_pct_12,rep_pct_12,dem_08,rep_08,tot_08,dem_pct_08,rep_pct_08,2p_tot_16,dem_2p_16,rep_2p_16,2p_tot_12,dem_2p_12,rep_2p_12,2p_tot_08,dem_2p_08,rep_2p_08,lean_08,lean_12
72,CA-51,"Vargas, Juan",(D),147603,46825,"205,437",71.8%,22.8%,115610,48108,166684,69.4,28.9,110682,54253,164941,,,194428,75.9165346555023,24.083465344497707,163718,70.61532635385235,29.384673646147647,164935,67.10643586867555,32.89356413132446,13.417588356531965,18.651464101842592
73,CA-52,"Peters, Scott",(D),191325,117057,"329,258",58.1%,35.6%,163911,143726,314748,52.1,45.7,183064,143490,326552,,,308382,62.041558845847035,37.958441154152965,307637,53.28065219723245,46.719347802767544,326554,56.059334750148516,43.94066524985148,2.3704872380049338,1.3167899452226877
74,CA-53,"Davis, Susan",(D),200237,91822,"310,373",64.5%,29.6%,174616,103513,284333,61.4,36.4,180202,108290,288489,,,292059,68.56046209841162,31.439537901588377,278129,62.78237796130573,37.21762203869427,288492,62.46343052840287,37.53656947159713,8.774583016259285,10.818515709295966
75,CO-01,"DeGette, Diana",(D),277790,93486,"402,453",69.0%,23.2%,254400,106334,368798,69.0,28.8,238267,92818,336293,70.9,27.6,371276,74.8203492819358,25.179650718064188,360734,70.52287835357909,29.477121646420905,331085,71.96550734705589,28.03449265294411,18.27665983491231,18.559016101569327
76,CO-02,"Polis, Jared",(D),264966,164769,"471,464",56.2%,34.9%,255209,174095,440652,57.9,39.5,255063,154884,416822,61.2,37.2,429735,61.65799853398024,38.34200146601975,429304,59.44715166874756,40.55284833125244,409947,62.21853068811334,37.78146931188665,8.529683175969758,7.483289416737797
77,CO-03,"Tipton, Scott",(R),151057,195966,"377,176",40.0%,52.0%,163886,185459,358045,45.8,51.8,166259,171205,343167,48.4,49.9,347023,43.529391423623224,56.470608576376776,349345,46.912364567977214,53.087635432022786,337464,49.267181091909066,50.732818908090934,-4.421666420234516,-5.051497684032547
78,CO-04,"Buck, Ken",(R),137784,230945,"402,201",34.3%,57.4%,140404,209415,357971,39.2,58.5,138609,186271,330465,41.9,56.4,368729,37.36728057733457,62.63271942266543,349819,40.13618471266569,59.86381528733431,324880,42.664676188131004,57.335323811868996,-11.024171324012578,-11.827677539344073
79,CO-05,"Lamborn, Doug",(R),123537,212558,"371,829",33.2%,57.2%,129903,200491,339143,38.3,59.1,127252,188389,320557,39.7,58.8,336095,36.75657180261533,63.24342819738467,330394,39.317602619902296,60.6823973800977,315641,40.31542163407162,59.684578365928374,-13.373425878071963,-12.646259632107466
80,CO-06,"Coffman, Mike",(R),191099,157115,"380,526",50.2%,41.3%,183024,165070,354989,51.6,46.5,175007,146589,326232,53.6,44.9,348214,54.87975785005772,45.12024214994227,348094,52.578901101426624,47.42109889857337,321596,54.41827634672073,45.58172365327927,0.7294288345771491,0.6150388494168624
81,CO-07,"Perlmutter, Ed",(D),192637,147645,"374,571",51.4%,39.4%,196276,144379,349920,56.1,41.3,187678,133184,327142,57.4,40.7,340282,56.61098735754463,43.38901264245538,340655,57.61723738092792,42.38276261907208,320862,58.49181267959435,41.50818732040566,4.802965167450765,5.653375128918157
82,CT-01,"Larson, John",(D),195305,119395,"328,774",59.4%,36.3%,200960,112982,317496,63.3,35.6,220181,110296,334807,65.8,32.9,314700,62.06069272322847,37.93930727677153,313942,64.01182384007237,35.98817615992763,330477,66.62521143680196,33.374788563198045,12.93636392465838,12.047961588062606
83,CT-02,"Courtney, Joe",(D),165799,155975,"340,758",48.7%,45.8%,177544,135235,317687,55.9,42.6,199414,136155,340366,58.6,40.0,321774,51.526537259070025,48.47346274092997,312779,56.76340163502025,43.23659836497974,335569,59.425632284269405,40.574367715730595,5.736784772125823,4.79953938301049
84,CT-03,"DeLauro, Rosa",(D),179832,129968,"321,837",55.9%,40.4%,191296,110912,305600,62.6,36.3,203090,117258,324233,62.6,36.2,309800,58.04777275661718,41.95222724338283,302208,63.29944938585346,36.70055061414655,320348,63.39668110929364,36.603318890706355,9.707833597150056,11.335587133843696
85,CT-04,"Himes, Jim",(D),195494,119976,"328,198",59.6%,36.6%,170884,136600,310284,55.1,44.0,192941,128653,323755,59.6,39.7,315470,61.969125431895264,38.030874568104736,307484,55.57492422369944,44.42507577630055,321594,59.995211353445654,40.00478864655435,6.306363841302073,3.6110619716896792
86,CT-05,"Esty, Elizabeth",(D),161142,147901,"322,737",49.9%,45.8%,164621,139347,307553,53.5,45.3,182147,137066,323202,56.4,42.4,309043,52.142258520658935,47.857741479341065,303968,54.15734551005369,45.84265448994631,319213,57.06127256722001,42.93872743277999,3.3724250550764268,2.1934832580439263
87,DE-AL,"Blunt Rochester, Lisa",(D),235603,185127,"441,590",53.4%,41.9%,242584,165484,413890,58.6,40.0,255459,152374,412412,61.9,36.9,420730,55.998621443681216,44.001378556318784,408068,59.44695491927816,40.55304508072184,407833,62.63813864988855,37.36186135011144,8.949291137744972,7.4830926672684015
88,FL-01,"Gaetz, Matt",(R),107063,256609,"380,100",28.2%,67.5%,106528,242747,349275,,,114948,240089,358489,,,363672,29.43943993488638,70.56056006511362,349275,30.49974948106793,69.50025051893208,355037,32.376343874018765,67.62365612598124,-21.312503638124817,-21.46411277094183
89,FL-02,"Dunn, Neal",(R),108636,234991,"354,948",30.6%,66.2%,110727,214342,325069,,,119522,214752,337842,,,343627,31.614512247291394,68.38548775270861,325069,34.06261439878918,65.93738560121082,334274,35.75569742187547,64.24430257812453,-17.933150090268114,-17.901247853220582
