,district,incumbent,party,dem_20,rep_20,tot_20,dem_pct_20,rep_pct_20,dem_16,rep_16,tot_16,dem_pct_16,rep_pct_16,dem_12,rep_12,tot_12,dem_pct_12,rep_pct_12,2p_tot_20,dem_2p_20,rep_2p_20,2p_tot_16,dem_2p_16,rep_2p_16,2p_tot_12,dem_2p_12,rep_2p_12,lean_16,lean_20,lean_12
21,AZ-09,Greg Stanton,(D),224192,137694,368798,60.8,37.3,155158,109123,283863,54.7,38.4,135244,123263,264563,51.1,46.6,361886,61.95100114400668,38.04899885599332,264281,58.70947968261056,41.29052031738944,258507,52.317345371692056,47.68265462830794,7.59619075189768,9.681166219800211,0.35348311968229496
22,CA-01,Doug LaMalfa,(R),148436,203557,360907,41.1,56.4,114727,176358,313968,36.5,56.2,122379,171902,303928,40.3,56.6,351993,42.170156792890765,57.829843207109235,291085,39.41357335486198,60.58642664513801,294281,41.58576326708146,58.41423673291853,-11.699715575850895,-10.099678131315706,-10.3780989849283
23,CA-02,Jared Huffman,(D),294489,95658,399857,73.6,23.9,238157,80545,344971,69.0,23.3,230212,89908,333442,69.0,27.0,390147,75.48154926220117,24.51845073779883,318702,74.72717460197927,25.27282539802072,320120,71.91428214419592,28.08571785580407,23.613885671266395,23.2117143379947,19.95041989218616
24,CA-03,John Garamendi,(D),179806,139735,327612,54.9,42.7,138882,105860,262086,53.0,40.4,131237,104145,241687,54.3,43.1,319541,56.27008740662388,43.72991259337613,244742,56.746287927695285,43.253712072304715,235382,55.75490054464658,44.245099455353426,5.632998996982408,4.000252482417409,3.79103829263682
25,CA-04,Tom McClintock,(R),197157,240869,448596,43.9,53.7,138790,190924,353388,39.3,54.0,133473,195386,337634,39.5,57.9,438026,45.01034185185354,54.98965814814646,329714,42.094057273879784,57.905942726120216,328859,40.586695209801164,59.413304790198836,-9.019231656833092,-7.259493072352932,-11.377167042208598
26,CA-05,Mike Thompson,(D),264125,92100,364567,72.4,25.3,210950,74088,305052,69.2,24.3,199924,78703,286658,69.7,27.5,356225,74.1455540739701,25.854445926029896,285038,74.00767616949318,25.99232383050681,278627,71.75327588496448,28.246724115035516,22.894387238780304,21.875719149763633,19.78941363295472
27,CA-06,Doris Matsui,(D),225218,87284,320576,70.3,27.2,168687,59549,243910,69.2,24.4,156141,63862,225831,69.1,28.3,312502,72.06929875648795,27.93070124351204,228236,73.9090239927093,26.0909760072907,220003,70.97221401526342,29.02778598473657,22.795735061996417,19.799463832281482,19.008351763253657
28,CA-07,Ami Bera,(D),218137,164052,391993,55.6,41.9,159066,124249,304118,52.3,40.9,145147,133888,285997,50.8,46.8,382189,57.07568768331899,42.92431231668101,283315,56.144574060674515,43.855425939325485,279035,52.01748884548534,47.98251115451467,5.031285129961638,4.805852759112518,0.05362659347557752
29,CA-08,Jay Obernolte,(R),127769,158451,293165,43.6,54.0,92234,127464,232835,39.6,54.7,88579,118278,212633,41.7,55.6,286220,44.64013695758508,55.35986304241492,219698,41.982175531866474,58.017824468133526,206857,42.821369351774415,57.17863064822558,-9.131113398846402,-7.629697966621393,-9.142492900235347
30,CA-09,Jerry McNerney,(D),180100,124102,310973,57.9,39.9,134719,90484,238191,56.6,38.0,127418,88403,220312,57.8,40.1,304202,59.20408149847799,40.79591850152202,225203,59.82113915001133,40.17886084998868,215821,59.03874043767752,40.96125956232248,8.70785021929845,6.934246574271519,7.074878185667757
31,CA-10,Josh Harder,(D),154990,146084,307948,50.3,47.4,116335,109145,239680,48.5,45.5,108923,101160,215113,50.6,47.0,301074,51.47903837594744,48.52096162405256,225480,51.594376441369526,48.40562355863048,210083,51.84760309020721,48.15239690979279,0.4810875106566499,-0.7907965482590313,-0.11625916180255302
32,CA-11,Mark DeSaulnier,(D),285019,90516,383481,74.3,23.6,223559,70869,312568,71.5,22.7,203699,90226,301134,67.6,30.0,375535,75.89678725018973,24.10321274981027,294428,75.92993872865353,24.070061271346475,293925,69.30305350004254,30.696946499957473,24.81664979794065,23.62695232598326,17.339191248032776
