"GEO_ID","NAME","P002001","P002002","P002003","P002004","P002005","P002006",
"Geography","Label for GEO_ID","Total","Total!!Urban","Total!!Urban!!Inside urbanized areas","Total!!Urban!!Inside urban clusters","Total!!Rural","Total!!Not defined for this file",
"5001600US2706","Congressional District 6 (116th Congress), Minnesota","662993","461095","342482","118613","201898","0",
"5001600US2707","Congressional District 7 (116th Congress), Minnesota","662988","237826","50845","186981","425162","0",
"5001600US2708","Congressional District 8 (116th Congress), Minnesota","662991","255076","93333","161743","407915","0",
"5001600US2801","Congressional District 1 (116th Congress), Mississippi","741837","310734","128310","182424","431103","0",
"5001600US2802","Congressional District 2 (116th Congress), Mississippi","741862","417886","174707","243179","323976","0",
"5001600US2803","Congressional District 3 (116th Congress), Mississippi","741822","323213","176771","146442","418609","0",
"5001600US2804","Congressional District 4 (116th Congress), Mississippi","741776","412391","339734","72657","329385","0",
"5001600US2901","Congressional District 1 (116th Congress), Missouri","748616","746257","746257","0","2359","0",
"5001600US2902","Congressional District 2 (116th Congress), Missouri","748616","738540","727277","11263","10076","0",
"5001600US2903","Congressional District 3 (116th Congress), Missouri","748615","458841","354604","104237","289774","0",
"5001600US2904","Congressional District 4 (116th Congress), Missouri","748616","383834","174586","209248","364782","0",
"5001600US2905","Congressional District 5 (116th Congress), Missouri","748616","684458","651644","32814","64158","0",
"5001600US2906","Congressional District 6 (116th Congress), Missouri","748616","459555","318316","141239","289061","0",
"5001600US2907","Congressional District 7 (116th Congress), Missouri","748616","460215","356501","103714","288401","0",
"5001600US2908","Congressional District 8 (116th Congress), Missouri","748616","286671","60876","225795","461945","0",
"5001600US3000","Congressional District (at Large) (116th Congress), Montana","989415","553014","262137","290877","436401","0",
"5001600US3101","Congressional District 1 (116th Congress), Nebraska","608780","452474","325458","127016","156306","0",
"5001600US3102","Congressional District 2 (116th Congress), Nebraska","608781","589723","589723","0","19058","0",
"5001600US3103","Congressional District 3 (116th Congress), Nebraska","608780","293489","67016","226473","315291","0",
"5001600US3201","Congressional District 1 (116th Congress), Nevada","675138","675138","675138","0","0","0",
"5001600US3202","Congressional District 2 (116th Congress), Nevada","675138","578726","450211","128515","96412","0",
"5001600US3203","Congressional District 3 (116th Congress), Nevada","675138","663863","643868","19995","11275","0",
"5001600US3204","Congressional District 4 (116th Congress), Nevada","675137","626070","567005","59065","49067","0",
"5001600US3301","Congressional District 1 (116th Congress), New Hampshire","658233","457815","426284","31531","200418","0",
"5001600US3302","Congressional District 2 (116th Congress), New Hampshire","658237","336057","196884","139173","322180","0",
"5001600US3401","Congressional District 1 (116th Congress), New Jersey","732658","719490","719416","74","13168","0",
"5001600US3402","Congressional District 2 (116th Congress), New Jersey","732658","590135","506103","84032","142523","0",
"5001600US3403","Congressional District 3 (116th Congress), New Jersey","732658","701409","666280","35129","31249","0",
"5001600US3404","Congressional District 4 (116th Congress), New Jersey","732657","696575","690704","5871","36082","0",
"5001600US3405","Congressional District 5 (116th Congress), New Jersey","732658","637290","569923","67367","95368","0",
"5001600US3406","Congressional District 6 (116th Congress), New Jersey","732657","732657","732657","0","0","0",
"5001600US3407","Congressional District 7 (116th Congress), New Jersey","732658","628663","621998","6665","103995","0",
"5001600US3408","Congressional District 8 (116th Congress), New Jersey","732658","732658","732658","0","0","0",
"5001600US3409","Congressional District 9 (116th Congress), New Jersey","732658","732658","732658","0","0","0",
"5001600US3410","Congressional District 10 (116th Congress), New Jersey","732658","732658","732658","0","0","0",
"5001600US3411","Congressional District 11 (116th Congress), New Jersey","732658","704894","689814","15080","27764","0",
"5001600US3412","Congressional District 12 (116th Congress), New Jersey","732658","715039","715039","0","17619","0",
"5001600US3501","Congressional District 1 (116th Congress), New Mexico","686393","632950","631045","1905","53443","0",
"5001600US3502","Congressional District 2 (116th Congress), New Mexico","686393","494502","214590","279912","191891","0",
"5001600US3503","Congressional District 3 (116th Congress), New Mexico","686393","466909","261086","205823","219484","0",
"5001600US3601","Congressional District 1 (116th Congress), New York","717707","681358","656225","25133","36349","0",
"5001600US3602","Congressional District 2 (116th Congress), New York","717708","716887","716887","0","821","0",
"5001600US3603","Congressional District 3 (116th Congress), New York","717707","713674","713674","0","4033","0",
"5001600US3604","Congressional District 4 (116th Congress), New York","717708","717492","717492","0","216","0",
"5001600US3605","Congressional District 5 (116th Congress), New York","717708","717708","717708","0","0","0",
"5001600US3606","Congressional District 6 (116th Congress), New York","717707","717707","717707","0","0","0",
"5001600US3607","Congressional District 7 (116th Congress), New York","717708","717708","717708","0","0","0",
"5001600US3608","Congressional District 8 (116th Congress), New York","717708","717671","717671","0","37","0",
"5001600US3609","Congressional District 9 (116th Congress), New York","717708","717708","717708","0","0","0",
"5001600US3610","Congressional District 10 (116th Congress), New York","717707","717707","717707","0","0","0",
"5001600US3611","Congressional District 11 (116th Congress), New York","717708","717708","717708","0","0","0",
"5001600US3612","Congressional District 12 (116th Congress), New York","717707","717707","717707","0","0","0",
"5001600US3613","Congressional District 13 (116th Congress), New York","717707","717707","717707","0","0","0",
