District,Biden,Trump,Clinton,Trump,Bachelor's,Rank,White Bachelor's,Rank,Median Income,Rank,White Income,Rank
MT-02,35.3,62.2,31.5,61.1,30.7,246,32.3,290,"$69,884",248,"$71,243",305
NC-01,53.2,45.9,53.6,43.8,22.0,395,28.5,339,"$53,854",410,"$66,847",366
NC-02,63.6,34.8,58.2,36.2,59.1,14,65.0,22,"$96,138",70,"$105,975",65
NC-03,36.7,62.0,35.3,61.4,24.1,353,28.2,348,"$61,546",351,"$70,050",322
NC-04,66.9,31.9,65.0,31.0,43.7,84,51.2,76,"$74,019",204,"$87,947",172
NC-05,38.8,60.1,36.7,59.2,27.2,304,28.7,338,"$54,503",405,"$58,497",420
NC-06,55.6,43.2,53.4,42.9,32.9,200,38.0,205,"$61,429",352,"$72,539",290
NC-07,43.1,55.8,41.7,54.6,29.8,255,34.9,252,"$62,763",331,"$71,095",307
NC-08,32.4,66.5,30.1,66.4,25.9,327,27.5,357,"$69,466",255,"$71,496",303
NC-09,45.3,53.3,44.1,52.3,27.7,291,31.6,303,"$62,661",332,"$72,506",291
NC-10,29.7,69.2,28.2,68.3,24.2,351,25.8,383,"$64,668",309,"$69,967",325
NC-11,44.3,54.4,40.1,55.2,33.9,184,35.6,237,"$62,261",336,"$63,788",383
NC-12,64.4,34.2,60.2,35.6,39.3,122,46.5,119,"$73,841",208,"$93,244",129
NC-13,50.1,48.4,46.6,49.0,36.5,153,42.5,151,"$82,201",146,"$94,298",120
NC-14,57.5,41.1,52.4,42.6,48.1,52,55.6,48,"$81,717",151,"$97,691",99
ND-AL,31.9,65.5,27.7,64.1,31.4,229,32.4,286,"$71,970",227,"$76,600",250
NE-01,43.3,54.3,37.6,55.9,35.3,166,37.3,216,"$74,193",202,"$75,102",263
NE-02,52.2,45.8,46.2,48.1,41.6,96,46.5,118,"$77,535",182,"$85,416",184
NE-03,23.1,74.9,20.6,74.2,23.8,362,25.4,390,"$61,627",348,"$62,747",395
NH-01,52.2,46.2,45.9,47.5,39.6,117,40.0,182,"$91,412",92,"$92,615",136
NH-02,53.6,44.7,47.8,45.4,38.5,132,38.2,202,"$88,494",104,"$89,682",160
NJ-01,61.5,37.1,60.0,36.7,34.1,183,37.8,209,"$82,670",140,"$93,798",127
NJ-02,46.9,51.8,44.8,51.9,29.3,271,33.4,272,"$80,850",156,"$89,547",161
NJ-03,56.3,42.3,53.0,43.5,45.2,73,47.0,114,"$106,253",40,"$108,094",59
NJ-04,38.1,60.6,34.5,62.4,39.0,127,40.0,181,"$90,090",97,"$90,708",152
NJ-05,55.6,43.2,52.2,44.5,53.5,27,54.3,55,"$124,761",16,"$129,967",22
