District,Clinton,Trump,Obama,Romney,Bachelor's,Rank,White Bachelor's,Rank,Median Income,Rank,White Income,Rank
NC-12,68.4,28.4,67.8,31.3,40.2,83,53.5,47,"$58,604",215,"$78,606",116
NC-13,44.0,53.4,46.1,52.9,28.5,233,31.5,249,"$50,489",333,"$58,425",299
ND-AL,27.7,64.1,38.9,58.7,29.5,215,30.4,267,"$63,473",174,"$66,668",208
NE-01,36.2,57.5,40.8,57.5,31.5,177,32.9,228,"$59,534",200,"$62,182",252
NE-02,46.0,48.2,45.7,52.8,39.8,85,44.3,100,"$65,816",149,"$74,005",148
NE-03,20.0,74.9,27.8,70.2,22.2,348,23.7,379,"$53,115",289,"$54,489",355
NH-01,46.6,48.2,50.2,48.6,37.2,112,37.2,173,"$75,028",82,"$76,392",131
NH-02,48.6,46.2,54.2,44.5,35.8,124,35.5,193,"$73,039",96,"$73,536",153
NJ-01,60.6,36.1,65.1,33.8,31.3,181,34.0,212,"$70,270",113,"$80,408",105
NJ-02,46.0,50.6,53.5,45.4,26.1,275,30.5,264,"$63,862",169,"$73,597",152
NJ-03,45.2,51.4,51.8,47.2,33.9,145,34.5,205,"$79,880",64,"$80,978",100
NJ-04,41.0,55.8,44.7,54.2,40.3,81,42.7,112,"$83,372",51,"$87,047",74
NJ-05,47.7,48.8,47.9,50.9,47.3,36,47.4,79,"$102,923",16,"$105,445",25
NJ-06,56.2,40.6,61.4,37.4,39.4,90,38.7,158,"$82,747",54,"$87,334",71
NJ-07,48.6,47.5,46.3,52.5,53.2,22,54.5,40,"$113,685",4,"$116,846",12
NJ-08,75.7,21.5,78.3,20.8,32.8,160,50.5,59,"$59,973",198,"$86,513",78
NJ-09,64.3,33.1,68.4,30.8,33.6,150,39.2,154,"$67,471",137,"$80,689",102
NJ-10,85.2,12.8,87.9,11.5,29.2,223,46.3,88,"$52,967",293,"$76,951",124
NJ-11,47.9,48.8,46.6,52.4,54.1,18,54.4,43,"$111,802",6,"$112,208",17
NJ-12,65.0,31.8,66.5,32.4,45.2,46,48.8,70,"$86,660",44,"$95,814",42
NM-01,51.6,35.1,55.3,39.6,33.0,158,47.2,80,"$50,680",330,"$60,782",269
NM-02,39.9,50.1,44.9,51.7,20.6,374,30.7,261,"$42,957",406,"$51,759",390
NM-03,51.8,36.7,57.5,38.7,27.3,254,42.6,113,"$50,407",335,"$62,151",253
NV-01,61.6,32.6,65.6,32.4,15.4,424,21.5,402,"$40,489",421,"$43,789",430
NV-02,39.7,52.0,44.8,52.9,26.6,261,30.4,268,"$61,259",190,"$64,501",230
NV-03,46.5,47.5,49.5,48.7,32.4,164,34.2,208,"$70,660",110,"$73,432",157
NV-04,49.5,44.6,54.4,43.7,21.0,368,25.7,346,"$58,618",214,"$65,038",221
NY-01,42.2,54.5,49.6,49.1,35.7,126,37.7,166,"$93,892",30,"$96,962",40
NY-02,43.9,53.0,51.6,47.2,30.9,191,35.2,199,"$98,595",20,"$103,378",28
NY-03,51.6,45.5,50.8,48.2,52.7,23,55.1,38,"$113,428",5,"$117,783",9
NY-04,53.4,43.8,56.3,42.8,42.3,63,49.4,68,"$105,685",12,"$114,429",15
NY-05,85.7,12.7,90.6,9.1,25.6,284,37.4,170,"$69,886",120,"$72,519",166
NY-06,65.1,32.1,67.8,31.0,36.2,118,42.8,110,"$64,428",160,"$72,060",170
