District,Code,Total Population by Race,,,,,,Voting Age Population by Race,,,,,,Total Citizen Population by Race,,,,,,Citizen Voting Age Population by Race,,,,,,Total Population (Hispanics/Latinos include any race),,,,,,,Total Voting Age Population (Hispanics/Latinos include any race),,,,,,,Citizen Population (Hispanics/Latinos include any race),,,,,,,Citizen Voting Age Population (Hispanics/Latinos include any race),,,,,,
,,White (Alone),Black,Hispanic or Latino,Asian,Native American,Pacific Islander,White (Alone),Black,Hispanic or Latino,Asian,Native American,Pacific Islander,White (Alone),Black,Hispanic or Latino,Asian,Native American,Pacific Islander,White (Alone),Black,Hispanic or Latino,Asian,Native American,Pacific Islander,Total Population,White (Alone),Black,Hispanic or Latino,Asian,Native American,Pacific Islander,Total Adult Population,White (Alone),Black,Hispanic or Latino,Asian,Native American,Pacific Islander,Total Citizen Population,White (Alone),Black,Hispanic or Latino,Asian,Native American,Pacific Islander,Total Adult Citizen Population,White (Alone),Black,Hispanic or Latino,Asian,Native American,Pacific Islander
North Carolina's 11th,NC-11,85.2,4.5,6.7,1.2,2.1,0.1,87.5,4.0,5.1,1.1,2.0,0.1,87.0,4.6,5.0,1.1,2.2,0.1,89.6,4.1,3.1,1.0,2.0,0.0,"746,330","635,990","33,700","50,220","9,315","15,710",570,"612,585","536,085","24,780","31,525","7,035","12,090",335,"725,635","631,040","33,525","36,240","7,845","15,705",525,"593,390","531,555","24,620","18,500","5,665","12,085",290
North Carolina's 12th,NC-12,42.7,36.8,13.6,6.0,0.6,0.0,45.9,36.1,11.3,5.8,0.7,0.0,45.8,39.2,9.9,4.1,0.7,0.0,49.9,38.8,6.8,3.6,0.7,0.0,"742,095","317,030","272,970","100,925","44,280","4,725",230,"564,110","259,065","203,760","63,485","32,845","3,760",200,"679,490","311,515","266,130","67,585","27,705","4,725",165,"509,125","253,965","197,600","34,475","18,325","3,760",135
North Carolina's 13th,NC-13,60.7,22.7,12.2,3.1,1.0,0.0,63.4,22.5,10.0,2.9,1.1,0.1,63.4,23.7,9.2,2.5,1.0,0.0,66.9,23.8,5.9,2.1,1.1,0.1,"760,680","461,815","172,810","92,795","23,740","7,485",355,"573,925","363,755","129,400","57,380","16,810","6,040",305,"721,245","457,020","170,915","66,035","17,955","7,405",340,"537,300","359,670","127,795","31,890","11,515","5,960",290
North Carolina's 14th,NC-14,57.5,22.5,12.4,6.4,0.8,0.1,60.8,21.6,10.6,6.0,0.8,0.1,61.4,24.0,8.7,4.6,0.8,0.0,65.4,23.1,6.4,4.0,0.8,0.0,"749,865","431,390","168,745","92,855","47,890","5,665",400,"581,285","353,385","125,360","61,525","34,685","4,405",320,"688,880","423,070","165,260","60,140","31,665","5,630",315,"529,680","346,175","122,325","34,005","21,095","4,370",240
North Dakota's At-Large,ND-AL,83.6,3.8,4.3,2.1,5.8,0.2,86.3,3.2,3.4,1.9,4.9,0.2,85.4,3.0,4.1,1.2,6.0,0.1,88.3,2.3,3.2,1.0,5.1,0.1,"776,875","649,540","29,750","33,190","16,300","45,405","1,470","594,140","512,515","19,040","20,405","11,530","29,100","1,070","756,015","645,370","22,790","30,880","9,370","45,350","1,085","575,815","508,645","13,220","18,165","5,475","29,080",800
Ohio's 1st,OH-01,69.8,20.6,3.9,4.9,0.5,0.0,72.4,19.2,3.1,4.6,0.6,0.0,71.9,20.8,3.3,3.2,0.6,0.0,74.7,19.4,2.5,2.7,0.6,0.0,"785,185","548,400","161,940","30,505","38,610","4,195",215,"606,335","438,905","116,710","18,760","28,100","3,365",215,"755,735","543,325","157,430","24,785","24,480","4,195",215,"581,510","434,540","112,840","14,460","15,815","3,365",215
Ohio's 2nd,OH-02,93.5,3.1,1.5,0.9,0.9,0.0,94.2,2.7,1.3,0.8,0.9,0.0,93.9,3.1,1.4,0.7,0.9,0.0,94.6,2.7,1.1,0.5,0.9,0.0,"786,865","735,600","24,110","12,120","7,170","6,960",190,"610,845","575,280","16,500","8,010","4,890","5,645",110,"782,305","734,610","23,865","10,685","5,295","6,950",190,"606,855","574,360","16,285","6,725","3,330","5,635",110
Ohio's 3rd,OH-03,56.2,30.9,5.7,6.2,0.7,0.0,60.5,27.8,4.6,6.2,0.7,0.0,59.2,30.9,4.4,4.4,0.7,0.0,64.2,27.6,3.1,4.1,0.8,0.0,"785,445","441,250","242,680","44,695","48,520","5,285",100,"611,380","370,030","169,725","28,415","37,820","4,320",100,"734,550","434,760","226,840","32,685","32,065","5,270",95,"567,195","364,315","156,810","17,755","23,020","4,305",95
Ohio's 4th,OH-04,87.3,6.2,2.4,3.2,0.8,0.0,88.5,5.5,2.1,2.9,0.8,0.0,88.4,6.2,2.3,2.3,0.8,0.0,89.8,5.6,1.9,1.8,0.8,0.0,"787,370","686,995","48,625","19,285","25,490","6,005",265,"604,310","534,785","33,515","12,720","17,710","4,970",265,"774,245","684,090","47,945","17,675","17,625","5,985",265,"592,545","532,155","32,940","11,320","10,605","4,950",265
Ohio's 5th,OH-05,85.3,5.2,7.4,1.3,0.7,0.1,87.1,4.6,6.3,1.2,0.7,0.1,85.9,5.2,7.1,0.9,0.7,0.0,87.9,4.6,5.9,0.8,0.7,0.0,"785,705","670,165","41,075","58,280","10,095","5,425",430,"611,190","532,420","28,100","38,515","7,525","4,190",345,"777,575","668,305","40,770","55,360","7,230","5,415",270,"603,565","530,610","27,785","35,765","4,935","4,185",185
Ohio's 6th,OH-06,87.9,7.4,3.1,0.8,0.6,0.0,89.3,6.5,2.7,0.7,0.6,0.0,88.2,7.4,2.9,0.6,0.6,0.0,89.7,6.5,2.4,0.5,0.7,0.0,"784,425","689,145","58,140","24,505","6,015","5,005",175,"626,205","558,925","40,915","16,600","4,640","4,065",110,"779,665","687,920","57,770","22,940","4,420","5,005",175,"621,730","557,740","40,545","15,065","3,255","4,065",110
Ohio's 7th,OH-07,87.3,4.4,3.9,3.7,0.4,0.0,89.0,3.8,3.3,3.4,0.4,0.0,88.4,4.4,3.7,2.9,0.5,0.0,90.1,3.7,3.0,2.6,0.5,0.0,"783,300","684,205","34,615","30,470","29,115","3,505",160,"617,055","549,010","23,145","20,265","21,050","2,740",105,"766,600","677,465","33,685","28,130","22,440","3,500",145,"602,570","542,980","22,355","18,175","15,510","2,740",90
Ohio's 8th,OH-08,76.9,15.1,3.8,3.3,0.6,0.1,79.7,13.4,2.9,3.1,0.6,0.1,78.7,15.0,2.9,2.4,0.6,0.0,82.0,13.3,1.8,2.1,0.7,0.0,"784,010","602,635","118,340","30,125","25,510","4,870",535,"599,725","478,165","80,415","17,440","18,380","3,840",305,"761,825","599,665","114,355","22,200","18,440","4,865",380,"579,605","475,395","76,870","10,290","11,960","3,835",155
Ohio's 9th,OH-09,76.4,13.7,7.4,1.7,0.6,0.0,79.4,12.1,6.2,1.6,0.6,0.0,76.9,13.8,7.1,1.3,0.6,0.0,80.1,12.1,5.8,1.2,0.6,0.0,"784,855","599,370","107,865","58,030","13,270","4,715",280,"611,345","485,255","73,705","37,650","9,870","3,890",225,"775,550","596,575","107,115","55,125","10,450","4,700",270,"602,770","482,635","73,035","34,930","7,350","3,875",220
Ohio's 10th,OH-10,73.5,19.1,3.4,2.9,0.8,0.0,75.9,17.4,2.8,2.7,0.8,0.0,74.7,19.1,2.9,2.1,0.8,0.0,77.3,17.4,2.3,1.9,0.8,0.0,"784,985","576,900","149,580","26,810","22,530","6,065",245,"613,455","465,630","107,035","17,445","16,745","4,835",180,"767,905","573,615","146,325","22,510","16,455","6,055",220,"597,990","462,450","104,260","13,610","11,235","4,825",160
Ohio's 11th,OH-11,42.9,45.8,7.5,3.0,0.5,0.0,46.4,43.2,6.6,3.0,0.6,0.0,43.3,46.7,7.2,2.0,0.5,0.0,47.0,44.1,6.2,2.0,0.6,0.0,"781,355","335,130","358,170","58,705","23,210","4,145",145,"618,630","287,250","267,240","41,055","18,655","3,550",145,"759,170","328,700","354,330","54,530","15,495","4,130",140,"599,160","281,660","263,945","37,405","11,735","3,535",140
Ohio's 12th,OH-12,90.1,5.0,1.9,2.0,0.8,0.0,91.2,4.3,1.6,1.9,0.8,0.0,90.8,4.9,1.8,1.6,0.8,0.0,92.1,4.2,1.4,1.4,0.8,0.0,"788,205","710,315","39,150","15,295","16,085","6,055",225,"607,645","554,435","26,430","9,790","11,345","4,860",225,"780,195","708,195","38,070","13,750","12,845","6,040",225,"600,155","552,495","25,460","8,350","8,230","4,845",225
Ohio's 13th,OH-13,77.9,15.0,2.6,3.7,0.7,0.0,80.7,13.1,2.1,3.3,0.7,0.0,79.2,15.0,2.2,2.7,0.7,0.0,82.1,13.2,1.7,2.1,0.8,0.0,"785,255","611,965","117,480","20,150","28,965","5,655",45,"620,130","500,280","81,425","13,120","20,485","4,550",40,"769,520","609,195","115,675","17,090","20,915","5,655",45,"606,120","497,675","80,230","10,475","12,955","4,550",40
Ohio's 14th,OH-14,88.5,6.2,3.2,1.4,0.6,0.0,89.9,5.4,2.6,1.4,0.6,0.0,89.2,6.2,2.8,1.1,0.6,0.0,90.8,5.4,2.1,1.0,0.6,0.0,"785,930","695,195","48,435","24,910","11,325","4,430",310,"627,150","564,015","33,930","16,095","8,490","3,490",170,"776,440","692,230","48,030","21,620","8,550","4,430",285,"618,380","561,195","33,555","13,140","5,920","3,490",145
Ohio's 15th,OH-15,75.7,12.9,5.2,5.1,0.8,0.0,78.8,11.3,4.1,4.8,0.8,0.1,78.4,12.6,4.1,3.7,0.8,0.0,82.1,11.0,2.6,3.2,0.9,0.1,"781,790","591,865","100,565","40,730","39,885","6,100",335,"595,955","469,510","67,290","24,370","28,565","4,925",325,"749,795","588,120","94,695","30,400","27,990","6,065",300,"568,040","466,115","62,640","14,970","18,250","4,890",295
Oklahoma's 1st,OK-01,62.1,10.5,12.7,3.9,10.9,0.1,66.6,9.5,10.3,3.6,10.1,0.1,64.9,10.8,9.8,3.1,11.4,0.1,70.3,9.9,6.6,2.7,10.7,0.0,"792,395","492,260","83,040","100,430","30,795","86,005",915,"596,245","397,365","56,570","61,230","21,545","60,130",610,"751,640","488,050","81,330","73,780","23,070","85,940",545,"559,575","393,450","55,140","36,955","14,930","60,080",250
Oklahoma's 2nd,OK-02,63.2,4.4,6.0,1.1,24.9,0.1,67.5,4.0,4.6,1.0,22.5,0.1,64.0,4.4,5.1,0.9,25.3,0.1,68.5,4.1,3.5,0.8,23.0,0.1,"797,695","504,455","34,925","47,920","8,695","198,860","1,070","613,395","414,235","24,655","28,505","6,230","138,290",730,"786,020","502,990","34,800","39,965","6,985","198,850",680,"602,420","412,885","24,535","20,920","4,625","138,285",425
Oklahoma's 3rd,OK-03,62.9,6.3,19.8,2.0,8.3,0.4,67.5,5.9,16.1,2.1,7.9,0.4,66.7,6.5,15.9,1.5,8.8,0.2,72.7,6.1,10.9,1.5,8.5,0.1,"792,660","498,860","50,090","157,165","15,780","65,850","3,195","594,630","401,635","34,925","95,900","12,660","46,950","2,095","743,940","496,500","48,615","118,255","11,285","65,765","1,840","549,185","399,370","33,610","59,690","8,425","46,925",755
Oklahoma's 4th,OK-04,67.6,9.2,10.0,3.2,9.6,0.1,70.9,8.4,8.3,3.2,8.8,0.1,68.8,9.3,9.1,2.6,9.8,0.1,72.5,8.5,7.2,2.5,9.0,0.1,"794,110","536,730","73,120","79,050","25,315","75,945",720,"612,185","434,025","51,415","50,890","19,770","53,895",560,"775,710","533,825","71,885","70,485","20,000","75,780",570,"594,700","431,400","50,255","42,580","14,760","53,735",410
Oklahoma's 5th,OK-05,65.6,13.2,9.3,3.9,7.9,0.0,69.0,12.4,7.6,3.8,7.4,0.0,67.4,13.3,7.8,3.2,8.2,0.0,71.4,12.5,5.7,2.9,7.7,0.0,"793,635","520,550","104,870","74,120","31,020","62,700",350,"603,600","416,365","74,685","45,975","22,665","44,455",245,"766,285","516,780","102,210","59,725","24,705","62,595",275,"578,350","412,735","72,330","32,710","16,865","44,355",175
Oregon's 1st,OR-01,68.1,3.1,14.9,11.5,1.4,0.3,71.3,2.8,12.5,11.1,1.4,0.4,72.3,3.0,12.8,9.3,1.5,0.4,76.5,2.7,9.7,8.4,1.5,0.4,"703,445","478,920","21,830","104,565","80,955","9,570","2,410","565,000","402,725","15,785","70,540","62,440","7,790","2,175","648,065","468,620","19,395","82,925","60,130","9,560","2,345","514,715","393,950","13,775","50,180","43,445","7,785","2,110"
Oregon's 2nd,OR-02,78.1,1.1,15.0,1.6,3.5,0.3,81.4,0.9,12.2,1.5,3.5,0.3,80.4,1.1,12.8,1.5,3.6,0.2,84.3,0.9,9.4,1.3,3.6,0.2,"705,020","550,900","7,900","105,560","11,545","24,925","1,815","557,095","453,540","5,190","67,780","8,335","19,230","1,430","681,490","548,045","7,745","87,115","9,900","24,845","1,470","534,615","450,765","5,035","50,175","6,770","19,145","1,135"
Oregon's 3rd,OR-03,67.7,6.7,13.7,8.8,1.8,0.6,70.9,5.9,11.6,8.7,1.8,0.6,70.9,6.8,11.2,7.9,1.9,0.5,75.0,6.0,8.5,7.7,1.9,0.4,"701,275","474,655","47,035","95,775","61,720","12,315","4,410","562,280","398,755","33,100","65,215","48,845","9,860","3,240","657,715","466,490","44,795","73,440","52,135","12,270","3,325","521,840","391,250","31,300","44,120","40,020","9,815","2,155"
Oregon's 4th,OR-04,82.1,1.6,8.7,3.9,2.9,0.2,84.1,1.4,7.2,3.8,2.9,0.2,83.9,1.5,7.7,3.1,3.0,0.1,86.2,1.3,6.0,2.9,3.0,0.2,"705,795","579,400","11,070","61,285","27,825","20,805","1,095","582,360","489,880","8,115","41,680","22,285","16,695",940,"685,155","574,905","10,110","52,830","21,320","20,780",990,"563,190","485,575","7,310","33,715","16,400","16,670",850
Oregon's 5th,OR-05,81.9,1.7,9.9,4.1,1.7,0.2,84.3,1.4,8.2,3.8,1.7,0.1,83.8,1.7,8.3,3.7,1.8,0.1,86.7,1.3,6.2,3.3,1.8,0.1,"707,200","578,845","11,965","69,725","29,140","12,170","1,110","558,270","470,490","7,615","45,930","20,995","9,610",835,"684,400","573,415","11,415","56,680","25,565","12,130",955,"536,725","465,315","7,090","33,450","17,815","9,575",690
Oregon's 6th,OR-06,69.3,1.9,20.7,4.9,1.9,0.8,73.2,1.7,17.5,4.6,1.9,0.7,73.1,1.9,17.4,4.3,2.0,0.6,78.3,1.7,13.0,4.0,2.0,0.5,"706,640","489,390","13,355","146,155","34,320","13,525","5,585","548,390","401,295","9,090","95,720","25,410","10,540","3,755","661,735","483,895","12,720","115,285","28,275","13,320","4,030","506,290","396,485","8,495","66,055","20,085","10,330","2,375"
Pennsylvania's 1st,PA-01,81.8,4.7,6.0,6.9,0.3,0.0,83.8,4.2,5.0,6.5,0.3,0.0,83.6,4.7,5.3,5.9,0.4,0.0,86.0,4.1,4.2,5.3,0.3,0.0,"763,500","624,565","36,200","45,770","52,660","2,605",130,"608,475","509,745","25,615","30,530","39,445","2,040",100,"738,285","617,395","34,335","39,065","43,315","2,605",90,"585,565","503,350","23,995","24,370","30,840","2,040",55
Pennsylvania's 2nd,PA-02,37.6,25.1,26.5,9.9,0.5,0.0,42.1,24.0,23.0,10.1,0.5,0.0,39.0,26.4,25.6,8.0,0.6,0.0,44.4,25.5,21.5,7.8,0.6,0.0,"762,895","287,020","191,360","202,500","75,665","4,045",115,"580,085","244,190","139,460","133,190","58,860","2,930",115,"695,880","271,705","183,495","178,485","55,960","4,045",115,"520,640","231,110","132,555","112,010","40,690","2,930",115
Pennsylvania's 3rd,PA-03,31.6,54.9,5.7,6.7,0.7,0.0,34.6,52.2,5.2,7.0,0.7,0.0,32.3,56.6,5.0,4.9,0.7,0.0,35.7,54.0,4.4,4.9,0.7,0.0,"756,675","239,065","415,435","43,205","50,720","5,020",250,"615,350","213,060","320,970","32,105","43,140","4,195",215,"717,790","232,200","406,285","36,030","35,375","4,910",250,"579,535","206,605","312,930","25,680","28,545","4,085",215
Pennsylvania's 4th,PA-04,78.3,9.0,5.5,6.7,0.3,0.0,80.5,8.4,4.5,6.2,0.3,0.0,80.2,9.0,5.0,5.2,0.3,0.0,82.7,8.4,4.0,4.4,0.3,0.0,"764,400","598,255","68,690","41,665","51,190","2,575",80,"606,805","488,235","51,050","27,175","37,370","1,910",80,"739,665","592,935","66,325","37,155","38,660","2,575",80,"584,645","483,325","49,010","23,375","25,965","1,910",80
Pennsylvania's 5th,PA-05,60.0,26.2,5.6,7.4,0.4,0.0,63.3,24.2,4.7,7.1,0.4,0.0,62.5,26.0,4.8,5.9,0.4,0.0,66.5,23.9,3.7,5.3,0.4,0.0,"763,045","458,030","199,720","42,560","56,610","3,295",280,"592,720","375,265","143,370","27,810","42,095","2,510",225,"722,875","452,105","187,810","34,875","42,410","3,250",280,"556,870","370,135","132,950","20,710","29,280","2,460",225
Pennsylvania's 6th,PA-06,71.4,6.5,16.1,5.5,0.3,0.0,74.8,6.2,13.5,5.0,0.3,0.0,74.6,6.7,14.3,3.9,0.3,0.0,78.7,6.3,11.2,3.2,0.3,0.0,"766,665","547,100","50,090","123,070","42,155","2,420",120,"591,085","442,315","36,450","79,560","29,730","1,900",90,"726,705","541,800","48,590","103,595","28,560","2,400",120,"555,840","437,390","35,095","62,445","17,970","1,880",90
Pennsylvania's 7th,PA-07,69.6,6.3,20.0,3.5,0.4,0.0,73.6,5.6,16.9,3.3,0.4,0.0,72.0,6.2,18.4,2.7,0.4,0.0,76.5,5.4,15.1,2.5,0.4,0.0,"766,615","533,715","48,475","153,100","26,725","2,765",235,"606,140","446,160","33,775","102,690","20,105","2,215",185,"733,425","528,105","45,645","135,240","20,095","2,760",205,"576,820","441,030","31,175","87,265","14,155","2,210",170
Pennsylvania's 8th,PA-08,76.0,7.1,13.8,2.3,0.4,0.1,79.4,6.4,11.4,2.2,0.4,0.1,78.2,7.1,12.1,1.9,0.4,0.1,82.0,6.2,9.4,1.8,0.5,0.1,"764,480","580,920","54,645","105,795","17,765","3,325",435,"612,900","486,770","39,050","69,825","13,440","2,715",360,"737,930","577,035","52,165","89,335","14,135","3,290",410,"589,345","483,100","36,830","55,365","10,320","2,675",335
Pennsylvania's 9th,PA-09,89.3,3.1,5.8,1.1,0.5,0.0,91.0,2.8,4.7,1.0,0.5,0.0,90.0,3.1,5.4,0.9,0.5,0.0,91.7,2.7,4.3,0.8,0.5,0.0,"765,340","683,690","23,860","44,550","8,710","3,735",250,"611,275","556,120","16,990","28,525","6,265","2,940",170,"757,545","681,535","23,200","41,210","7,080","3,735",250,"604,430","554,120","16,395","25,790","4,775","2,940",170
Pennsylvania's 10th,PA-10,73.5,11.8,9.2,4.8,0.4,0.0,76.9,10.5,7.5,4.5,0.4,0.0,75.5,11.8,8.5,3.6,0.4,0.0,79.2,10.4,6.6,3.1,0.4,0.0,"766,730","563,565","90,480","70,615","36,875","3,325",110,"602,320","462,990","63,140","45,365","26,880","2,600",105,"741,915","559,940","87,485","62,825","26,525","3,315",105,"580,255","459,735","60,490","38,340","17,805","2,590",100
Pennsylvania's 11th,PA-11,83.1,4.4,9.4,2.5,0.4,0.0,85.5,3.8,7.9,2.3,0.4,0.0,84.2,4.2,8.9,2.1,0.4,0.0,86.8,3.6,7.2,1.8,0.4,0.0,"765,640","636,445","33,720","71,875","18,860","2,760",210,"590,645","505,140","22,385","46,535","13,410","2,155",200,"751,365","632,995","31,495","66,760","15,445","2,745",210,"578,025","501,930","20,670","41,820","10,495","2,140",200
Pennsylvania's 12th,PA-12,75.2,17.0,2.6,4.5,0.5,0.0,77.9,14.8,2.3,4.4,0.5,0.0,76.9,17.2,2.3,2.9,0.6,0.0,79.9,14.9,2.0,2.7,0.6,0.0,"763,760","574,435","130,200","19,695","34,250","4,200",95,"628,235","489,615","92,795","14,555","27,580","3,415",40,"740,525","569,360","127,480","16,845","21,815","4,185",95,"606,950","484,930","90,370","11,870","16,245","3,400",40
Pennsylvania's 13th,PA-13,91.5,3.4,3.5,1.0,0.5,0.0,92.9,2.8,2.8,0.9,0.4,0.0,92.2,3.3,3.1,0.8,0.5,0.0,93.7,2.7,2.3,0.7,0.5,0.0,"765,340","700,250","25,740","27,160","7,725","3,455",75,"609,470","566,110","17,140","17,260","5,585","2,740",75,"757,345","698,520","24,880","23,165","6,315","3,450",75,"602,165","564,510","16,395","13,595","4,300","2,735",75
Pennsylvania's 14th,PA-14,92.8,4.1,1.5,1.0,0.5,0.0,93.7,3.5,1.3,0.9,0.5,0.0,93.3,4.0,1.3,0.8,0.5,0.0,94.2,3.4,1.1,0.7,0.5,0.0,"763,255","708,135","31,005","11,225","7,700","3,835",135,"623,150","583,640","21,915","8,080","5,525","3,075",85,"757,565","706,485","30,310","9,910","6,095","3,825",125,"617,950","582,120","21,285","6,890","4,095","3,065",75
Pennsylvania's 15th,PA-15,92.7,2.5,2.2,2.1,0.4,0.0,92.9,2.5,2.1,2.0,0.4,0.0,93.8,2.4,1.9,1.2,0.4,0.0,94.2,2.4,1.8,1.1,0.4,0.0,"765,030","709,070","18,945","16,655","15,710","3,390",235,"624,020","579,620","15,380","12,940","12,440","2,780",235,"751,320","705,110","17,940","14,420","9,365","3,360",135,"611,120","575,920","14,440","10,835","6,445","2,750",135
Pennsylvania's 16th,PA-16,89.6,5.4,2.7,1.6,0.5,0.0,91.4,4.4,2.1,1.4,0.5,0.0,90.2,5.4,2.6,1.2,0.5,0.0,92.1,4.4,2.0,1.0,0.5,0.0,"765,330","685,545","41,645","20,735","12,535","3,615",110,"612,105","559,725","27,105","13,125","8,630","2,765",85,"757,210","682,735","40,785","19,520","9,340","3,610",105,"605,125","557,295","26,450","11,990","5,905","2,760",75
Pennsylvania's 17th,PA-17,84.9,8.7,2.0,3.9,0.4,0.0,87.0,7.7,1.6,3.3,0.4,0.0,86.3,8.8,1.8,2.5,0.4,0.0,88.5,7.8,1.5,1.8,0.4,0.0,"760,505","645,890","66,370","14,940","29,485","2,915",115,"609,870","530,530","46,690","9,980","19,980","2,165",105,"742,675","641,020","65,600","13,540","18,770","2,895",105,"594,380","526,045","46,075","8,730","10,920","2,150",95
Rhode Island's 1st,RI-01,66.5,9.0,19.2,4.2,0.9,0.1,70.2,8.4,16.3,4.1,0.9,0.1,70.2,8.8,16.5,3.4,0.9,0.0,74.6,8.1,13.2,3.0,1.0,0.0,"545,355","362,480","49,275","104,890","23,035","4,645",300,"438,900","308,175","36,795","71,345","18,025","3,875",235,"504,080","353,765","44,520","83,240","16,955","4,635",245,"401,835","299,670","32,520","52,960","12,185","3,865",180
Rhode Island's 2nd,RI-02,75.3,5.5,14.3,4.0,0.7,0.1,78.5,4.8,12.2,3.6,0.7,0.1,78.6,5.2,12.1,3.1,0.8,0.0,82.1,4.5,9.8,2.7,0.7,0.1,"548,895","413,410","30,040","78,310","21,720","4,050",280,"447,025","351,100","21,365","54,415","16,135","3,150",280,"520,640","409,115","27,030","63,215","15,895","4,050",250,"422,685","347,145","18,840","41,325","11,395","3,150",250
South Carolina's 1st,SC-01,70.1,19.1,7.1,2.5,0.8,0.1,72.7,18.0,5.9,2.3,0.8,0.1,71.3,19.6,5.8,2.1,0.8,0.1,74.2,18.5,4.4,1.9,0.8,0.1,"734,140","514,435","140,515","52,340","18,035","5,880",535,"577,795","419,980","103,980","34,240","13,505","4,680",335,"712,880","508,270","139,740","41,550","14,725","5,880",440,"559,130","414,645","103,245","24,640","10,680","4,680",285
South Carolina's 2nd,SC-02,62.4,27.4,6.3,2.7,0.8,0.1,64.9,26.2,5.2,2.6,0.9,0.0,63.7,27.9,5.2,2.1,0.8,0.1,66.5,26.8,3.9,1.8,0.9,0.0,"735,645","459,200","201,860","46,595","20,020","5,940",555,"568,525","368,820","149,025","29,805","14,885","4,850",220,"716,695","456,750","200,080","37,305","14,795","5,940",445,"551,315","366,535","147,575","21,250","10,170","4,850",110
South Carolina's 3rd,SC-03,73.3,19.1,5.5,1.3,0.7,0.0,75.7,18.0,4.3,1.2,0.7,0.0,74.6,19.4,4.1,1.0,0.7,0.0,77.3,18.4,2.6,0.9,0.7,0.0,"731,595","536,355","139,480","40,330","9,615","4,840",315,"576,975","436,645","103,720","25,000","7,095","3,995",160,"714,725","533,300","138,980","29,190","7,490","4,840",265,"561,510","433,930","103,245","14,830","5,030","3,995",115
South Carolina's 4th,SC-04,66.6,20.2,9.3,3.1,0.5,0.0,69.0,19.3,7.9,3.0,0.5,0.0,69.0,21.1,6.6,2.5,0.5,0.0,72.0,20.3,4.7,2.3,0.6,0.0,"737,330","490,915","149,295","68,795","23,085","3,670",280,"569,955","393,490","109,955","45,230","17,340","3,000",240,"702,355","484,415","148,385","46,520","17,895","3,665",190,"538,685","387,855","109,155","25,180","12,650","2,995",155
South Carolina's 5th,SC-05,65.8,25.6,5.3,2.2,1.0,0.0,67.9,24.5,4.4,2.0,1.0,0.0,67.0,26.0,4.2,1.6,1.0,0.0,69.4,25.0,3.1,1.4,1.1,0.0,"733,430","482,730","187,525","38,945","16,035","7,510",150,"565,460","384,000","138,645","25,130","11,365","5,850",105,"716,330","479,900","186,215","30,315","11,780","7,510",150,"549,970","381,450","137,555","17,060","7,645","5,850",105
South Carolina's 6th,SC-06,41.7,50.3,5.1,1.8,0.8,0.1,44.8,48.2,4.2,1.8,0.9,0.1,42.6,51.5,3.5,1.3,0.8,0.1,45.8,49.5,2.4,1.3,0.9,0.1,"732,600","305,860","368,640","37,305","12,965","5,955",595,"587,785","263,355","283,210","24,545","10,435","5,060",440,"710,445","302,440","365,880","25,110","9,315","5,955",510,"568,240","260,295","281,105","13,590","7,125","5,060",360
South Carolina's 7th,SC-07,64.9,28.0,4.7,1.3,1.1,0.0,68.1,25.8,3.8,1.3,1.0,0.0,65.9,28.4,3.4,1.1,1.1,0.0,69.3,26.3,2.3,1.0,1.1,0.0,"738,015","478,745","206,350","34,570","9,945","7,830",45,"592,335","403,190","152,900","22,385","7,525","6,200",45,"720,860","475,060","205,065","24,585","7,830","7,765",45,"576,740","399,650","151,810","13,500","5,520","6,135",45
South Dakota's At-Large,SD-AL,81.3,2.8,4.4,1.8,9.4,0.1,84.6,2.2,3.4,1.7,7.8,0.1,82.7,2.3,3.8,1.3,9.6,0.0,86.4,1.7,2.7,1.1,8.0,0.0,"890,340","723,620","25,250","39,195","16,450","83,945",510,"673,730","570,295","15,135","23,040","11,790","52,315",410,"870,975","720,555","20,335","33,160","11,435","83,930",280,"656,515","567,515","10,980","17,605","7,225","52,295",245
Tennessee's 1st,TN-01,90.4,3.1,4.3,1.1,0.9,0.1,91.9,2.7,3.2,1.0,0.9,0.1,91.9,3.1,3.1,0.8,0.9,0.0,93.6,2.7,2.0,0.7,0.9,0.0,"769,365","695,850","24,050","32,845","8,525","6,610",450,"619,715","569,805","16,980","19,935","6,440","5,525",330,"754,640","693,440","23,535","23,495","6,325","6,605",220,"606,555","567,550","16,500","11,915","4,290","5,525",100
Tennessee's 2nd,TN-02,85.3,7.0,4.6,2.1,0.8,0.0,87.1,6.2,3.7,2.0,0.8,0.1,87.0,7.0,3.3,1.7,0.8,0.0,89.1,6.2,2.1,1.5,0.8,0.1,"771,750","658,125","53,915","35,650","16,495","6,090",370,"614,735","535,560","38,245","22,465","12,445","5,080",365,"751,945","654,335","52,610","24,605","12,880","6,060",370,"597,440","532,345","37,180","12,795","9,155","5,060",365
Tennessee's 3rd,TN-03,80.5,11.4,5.2,1.7,1.0,0.0,82.6,10.6,4.0,1.6,1.1,0.0,82.1,11.5,3.8,1.4,1.1,0.0,84.4,10.7,2.4,1.3,1.1,0.0,"771,175","620,950","88,135","39,805","13,310","7,970",235,"610,665","504,430","64,910","24,490","9,935","6,495",145,"752,385","617,685","86,530","28,525","10,710","7,965",235,"593,970","501,490","63,505","14,465","7,645","6,490",140
